Source,Target
450465,155
450465,1927
450465,272
450465,1452
450465,1924
424694,397538
424694,10139
424694,369192
424694,152532
424694,1420
401469,9679
401469,398181
401469,9739
401469,1991
401469,1572
504172,4836
504172,436
504172,699
504172,4133
504172,1900
483906,1927
483906,155
483906,263115
483906,272
483906,9531
332562,25196
332562,525
332562,254470
332562,458737
332562,6477
433249,76341
433249,336843
433249,119450
433249,101299
433249,157336
369972,3558
369972,10734
369972,1646
369972,48231
369972,423899
505954,423
505954,424
505954,369885
505954,289
505954,637
465914,396371
465914,1645
465914,489
465914,1878
465914,389
401847,769
401847,152532
401847,467952
401847,424694
401847,303858
429197,5915
429197,508
429197,75
429197,769
429197,640
490132,449176
490132,26280
490132,184352
490132,338189
490132,511785
405774,294254
405774,198663
405774,131631
405774,428078
405774,9813
375262,449176
375262,424694
375262,10139
375262,338189
375262,511785
337167,281957
337167,867
337167,11027
337167,341174
337167,392044
399360,281957
399360,290512
399360,75174
399360,309050
399360,44363
263115,49521
263115,155
263115,246655
263115,297762
263115,1452
489999,300668
489999,338970
489999,340677
489999,284276
489999,2275
484247,336843
484247,101299
484247,346364
484247,49022
484247,454983
426426,1949
426426,13
426426,171274
426426,112160
426426,50014
157336,75612
157336,568
157336,126889
157336,605
157336,348
447332,110415
447332,381283
447332,405774
447332,19908
447332,11472
487558,451915
487558,769
487558,424
487558,371638
487558,334543
446021,77
446021,13
446021,1369
446021,1368
446021,11778
210577,75780
210577,346364
210577,65754
210577,346685
210577,392044
315635,1452
315635,1924
315635,8536
315635,9531
315635,13640
451915,424
451915,371638
451915,363676
375785,449176
375785,398818
375785,84892
375785,100898
375785,376660
49017,36647
49017,228150
49017,588
49017,400155
49017,100241
316029,424694
316029,10537
316029,5915
316029,769
316029,640
470044,281957
470044,450322
470044,392044
470044,4836
470044,133805
458594,10781
458594,45569
458594,357096
458594,37645
458594,74997
272,98566
272,36647
272,297762
272,49521
272,36648
155,272
155,49026
155,209112
155,44912
155,59859
400535,4771
400535,1266
400535,2320
400535,562
400535,1701
455207,11931
455207,8966
455207,581
455207,392044
455207,466282
475132,324786
475132,424694
475132,425336
475132,332283
475132,317557
466411,13416
466411,8966
466411,84892
466411,131631
466411,198663
361292,561
361292,259693
361292,1487
361292,71
361292,622
8966,24021
8966,50619
8966,466282
8966,123553
8966,12689
286217,568
286217,157336
286217,95
286217,667
286217,75174
407436,278927
407436,34584
407436,581
407436,10140
407436,84892
150540,812
150540,12092
150540,260513
150540,11360
150540,2300
242582,9654
242582,64690
242582,218
242582,449443
242582,396371
205596,467952
205596,184352
205596,449176
205596,10139
205596,423
500852,238
500852,52979
500852,64912
500852,23483
500852,524
446101,4421
446101,10035
446101,336804
446101,342737
446101,20815
398818,449176
398818,26371
398818,84892
398818,376867
398818,424694
228150,369885
228150,1771
228150,424
228150,374720
228150,857
150689,809
150689,10882
150689,2312
150689,11224
150689,808
194662,98566
194662,1927
194662,14
194662,155
194662,383498
399055,381284
399055,9738
399055,150689
399055,440298
399055,36647
520360,500
520360,949
520360,1844
520360,75656
520360,429203
537996,9394
537996,995
537996,14128
537996,872
537996,10156
49026,209112
49026,44912
49026,59859
169917,4771
169917,769
169917,398181
169917,8012
169917,37645
244786,769
244786,74997
244786,398181
244786,281957
244786,2142
16869,424
16869,228150
16869,2253
16869,637
16869,1771
216015,12689
216015,9813
216015,8966
216015,466282
216015,43923
438808,261023
438808,4133
438808,1900
438808,2034
438808,4982
454227,5915
454227,769
454227,640
454227,424
454227,152532
429351,193756
429351,423899
429351,281957
429351,369972
429351,97630
49047,157336
49047,2067
49047,62
49047,274870
49047,369972
455980,460019
455980,1555
455980,4922
455980,2770
455980,445571
281957,395834
281957,3134
281957,994
281957,398181
281957,336843
168259,281957
168259,345887
168259,3134
168259,395834
168259,156022
68718,272
68718,862
68718,33
68718,600
68718,2320
324786,616
324786,374720
324786,227306
324786,1369
324786,8741
254128,479475
254128,11123
254128,8656
254128,80278
254128,2034
58595,290595
58595,408
58595,197796
58595,385448
58595,62764
359940,600
359940,398181
359940,281957
359940,395834
359940,458737
374720,369885
374720,676
374720,1654
438145,281957
438145,11121
438145,3134
438145,345887
438145,68718
65754,60670
65754,1949
65754,181283
65754,395834
65754,392044
384018,168259
384018,401478
384018,337339
384018,10483
384018,136797
329865,126889
329865,157336
329865,828
329865,384521
329865,49849
401545,1417
401545,364689
401545,2501
401545,2503
401545,6637
419743,184352
419743,449176
419743,26280
419743,377154
419743,10139
241554,10651
241554,281957
241554,984
241554,445954
241554,345887
398173,10781
398173,1696
398173,984
398173,5486
398173,12521
440472,10098
440472,404245
575185,14564
575185,84348
575185,173484
575185,397981
575185,9448
281338,101299
281338,70160
281338,333339
281338,336843
281338,281957
372058,81
372058,8392
372058,378064
372058,505262
372058,51739
1124,44214
1124,75656
1124,291805
1124,675
1124,13374
440161,3090
440161,682
440161,8966
440161,235
440161,429
514619,527435
514619,11675
514619,8922
514619,8272
514619,4170
18239,24021
18239,36648
18239,50619
18239,49017
18239,50620
334543,769
334543,424
334543,371638
334543,467952
11324,181283
11324,392044
11324,75780
11324,336843
11324,37645
417261,157336
417261,395990
417261,307081
417261,425972
417261,460071
264660,438590
264660,2048
264660,644
264660,62
264660,157336
381284,369972
381284,487558
381284,50014
381284,686
381284,5915
17979,13188
17979,13377
17979,8871
17979,1585
17979,9479
61791,119450
61791,63
61791,76341
61791,9659
61791,9739
1422,37645
1422,8012
1422,4771
1422,1266
1422,357096
12162,405775
12162,49021
12162,2320
12162,600
12162,238636
392044,4176
392044,75780
392044,7007
392044,60670
392044,281957
425972,8810
425972,9813
425972,9659
425972,405774
425972,76341
6977,4836
6977,101
6977,59967
6977,189
6977,949
62764,290595
62764,60304
62764,32593
147441,9837
147441,381284
147441,487558
147441,414425
147441,50014
458737,346685
458737,458594
340613,843
340613,11004
340613,346685
340613,340666
340613,1259
119450,63
119450,157336
119450,49049
273481,345887
273481,979
273481,2142
273481,4771
273481,479
350,65754
